Dropout (1=Yes 0=No),Study Mode,Entry Year,Displaced Student,Overall Pass Rate (%),Pass Rate Semester A (%),Pass Rate Semester B (%),Pass Rate Last Year (%),Credits Enrolled Total,Credits Passed Total,Credits Passed Normal,Credits Passed Sem A,Credits Passed Sem B,Credits Pending Grade,Lowest Year of Study,Highest Year of Study,Platform Days Logged (Total),Platform Events (Total),Platform Minutes (Total),Platform Visits (Total),Campus WiFi Days (Total),Resource Access Days (Total),Performance Bucket,Engagement Level,Credits Enrolled Band
0,1,,1,0,0,0,50,60,0,0,0,0,0,1,1,18,133,1104.5158,22,,10,0,1,1
0,1,2019,1,100,100,100,100,60,60,60,18,33,0,4,4,13,101,868.4705,21,14,9,3,1,1
0,1,2021,1,100,100,100,100,60,60,60,33,27,0,2,2,19,97,1062.39175,22,113,10,3,1,1
0,1,2018,1,100,,100,100,6,6,6,0,6,0,4,4,,,,,2,,3,,0
0,1,2020,1,100,100,100,77.5,64.5,64.5,64.5,22.5,33,0,2,3,38,300,4039.167533,89,176,27,3,2,2
0,1,2021,0,100,100,100,100,60,60,66,28.5,31.5,0,2,2,17,79,1424.198433,31,162,11,3,1,1
0,1,2020,0,42.86,54.55,30,75,63,27,27,18,9,0,2,3,7,34,600.895,13,144,5,1,1,2
0,1,2020,1,66.67,100,44,73.80952381,63,42,42,25.5,16.5,0,2,3,25,649,1501.748717,34,91,14,2,2,2
0,1,2019,1,100,100,100,100,60,60,60,30,30,0,4,4,84,681,4652.958217,192,177,53,3,3,1
0,1,2022,0,100,100,100,,60,60,60.67,9,6,0,1,1,11,25,516.4264667,13,,1,3,1,1
0,1,,1,,,,,60,0,0,0,0,0,1,1,,,,,,,,,1
0,1,2019,1,69.81,66.67,73.91,93.02325581,79.5,55.5,64.5,30,13.5,0,3,4,12,43,756.7440167,16,152,5,2,1,2
0,1,,1,100,100,100,100,24,24,24,6,0,0,2,2,,,,,33,,3,,0
0,1,,1,100,100,100,,60,60,60,33,27,0,1,1,,,,,154,,3,,1
0,1,2020,0,100,100,100,100,60,60,70,33,27,0,3,3,39,280,2361.021667,56,112,32,3,2,1
0,1,2021,1,100,100,100,100,60,60,61,21,21,0,2,2,30,170,2034.748933,40,237,16,3,2,1
0,1,,1,100,100,100,100,30,30,30,18,0,0,2,2,,,,,83,,3,,0
0,1,2019,1,71.43,100,33.33,100,42,30,48,24,6,0,4,4,43,211,2941.9317,67,121,27,2,2,1
0,1,,0,81.63,100,66.67,100,73.5,60,60,33,13.5,0,2,2,,,,,21,,3,,2
0,1,,1,100,100,100,,60,60,60,21,24,0,1,1,,,,,118,,3,,1
0,1,2016,1,78.57,50,86.36,100,42,33,33,4.5,19.5,0,5,5,4,8,136.4495167,3,169,1,2,1,1
0,1,2021,0,100,100,100,100,60,60,60,30,30,0,2,2,36,147,2672.401367,52,128,27,3,2,1
0,1,2019,1,0,,0,43.33333333,13.5,0,2,0,0,0,3,3,29,116,1530.596067,40,,20,0,2,0
0,1,2019,0,22.5,0,33.33,26.19047619,60,13.5,13.5,0,13.5,0,2,4,14,100,890.1975167,20,76,11,0,1,1
0,0,2021,1,57.69,42.86,75,21.42857143,39,22.5,22.5,9,13.5,0,2,3,70,269,4518.0811,110,,33,1,3,1
